fiss_density_watersheds_id,elev_min,elev_max,elev_mean,elev_percentile_60
11087,14,131,84.21920289855072,108
9824,870,1879,1392.13907839617,1477
9830,9,620,342.6025485436893,422
9825,991,2159,1722.796998749479,1799
9834,1153,1361,1242.928609483218,1250
9828,1000,1991,1397.4313963249697,1475
9829,1053,1168,1125.8146473779386,1132
9831,1786,2243,2006.91984,2030
9833,1567,2576,1938.8882441181115,1979
9837,1550,2110,1816.7024806446516,1843
9838,1019,1310,1201.475149957155,1244
9841,1144,1337,1220.9943582510577,1231
9844,719,946,821.5344310616456,825
9843,1380,2235,1907.0166022487701,1937
9855,1402,1792,1597.879014060059,1619
9851,836,1758,1307.0293522267207,1405
9856,1081,2167,1403.5562326869806,1424
9846,1342,2658,2034.8491269496053,2138
9847,1650,2331,1917.032345484745,1943
10255,1663,1952,1817.5333333333333,1833
9848,934,1733,1404.4643799472296,1459
9861,1103,1308,1165.3588014981274,1152
9850,1299,2841,2033.8581153230111,2088
10257,1055,1136,1090.3994910941476,1099
10259,881,2001,1385.800861544779,1505
9853,939,1540,1286.4311947404217,1332
9854,1409,1735,1571.178947368421,1594
9858,1037,1506,1276.8717491075981,1314
9859,889,1650,1358.406284180173,1434
9863,919,1715,1342.044359741839,1396
9986,1301,1817,1593.4111816019033,1625.6
9864,971,2247,1768.6643225004439,1847
9865,1472,2123,1752.8523360697275,1825.5999999999995
9998,1641,1916,1818.3141614306428,1841
9866,952,1225,1079.2347174948945,1079
9867,1306,2030,1562.8511187607573,1589
9869,1287,1731,1521.485145957117,1565
9868,1454,1665,1549.581627351138,1554
9874,1405,2284,1865.7932795698925,1906
9875,266,415,361.60234541577825,374
10009,13,98,53.19456812110418,55
9876,959,1318,1193.1802108126487,1251
9878,559,575,566.5601073486463,567
9877,1039,1343,1192.2496525767226,1213
9882,460,1207,781.9118525896414,812.2
9879,769,1054,914.5294609545864,956
9913,1327,1916,1659.2480620155038,1751
9880,566,1411,1000.5060561299853,1063
9881,918,1212,1053.2345315262228,1068
9883,869,1205,1064.1429359823398,1110
9884,822,953,867.1761883994767,858
9885,969,1036,997.2664670658683,1004
9888,1175,1793,1534.841398842507,1589
9895,783,943,882.7121113462478,896
9889,233,462,402.49279104798796,420
9890,1722,2312,2100.7992929018224,2145
9891,5,767,179.30274830944848,138
9892,1331,2932,2189.9331841167204,2342
9896,930,1606,1283.903757460662,1347
9899,40,294,93.92470326409496,89
9897,789,1904,1302.2637860537077,1354
9898,55,1136,545.4458804523425,649
9901,1700,2728,2228.5526390384944,2295
9903,1504,2235,1851.0632824948782,1888
9905,239,487,368.8383419689119,399
9908,231,419,347.61534246575343,355
9907,1070,2451,1748.2254109225876,1859
9912,12,354,69.43984484644882,73
9915,1391,1706,1595.8678694817659,1608
9916,1284,2176,1730.317743719387,1800
9914,1316,2549,1995.6270574971816,2108.3999999999996
